support,itemsets
0.026,"frozenset({'Cow, ox or bull fresh meat, PARTCON= Excluding visible fat, PROCESS= Raw, no heat treatment'})"
0.233,"frozenset({'Cow, ox or bull fresh meat, PARTCON= Including visible fat, PROCESS= Raw, no heat treatment'})"
0.043166666666666666,"frozenset({'Crackers and breadsticks, INGRED= Wheat flour white'})"
0.024833333333333332,"frozenset({'Cream, plain, FAT= 35 % fat'})"
0.12466666666666666,"frozenset({'Croissant, PLACE= Food industry prepared'})"
0.08766666666666667,"frozenset({'Cucumbers, PROCESS= Raw, no heat treatment'})"
0.026,"frozenset({'Custard, PLACE= Home prepared (family, social networks, proxies)'})"
0.026833333333333334,"frozenset({'Cuttlefish, common, PROCESS= Raw, no heat treatment'})"
0.5786666666666667,frozenset({'Dried durum pasta'})
0.021,"frozenset({'Dried nuts and related flours and powders, RACSOURCE= Walnuts'})"
0.023833333333333335,"frozenset({'Escaroles, PROCESS= Raw, no heat treatment'})"
0.05216666666666667,frozenset({'Firm/semi-hard cheese (gouda and edam type)'})
0.13066666666666665,"frozenset({'Florence fennels, PROCESS= Raw, no heat treatment'})"
0.028833333333333332,"frozenset({'Flowers or parts of flower used as spices or similar, GEN= Unspecified'})"
0.024333333333333332,"frozenset({'Frankfurter sausage, INGRED= Pig minced meat, PROCESS= Raw, no heat treatment'})"
0.04816666666666667,"frozenset({'French beans (with pods), PROCESS= Raw, no heat treatment'})"
0.049166666666666664,frozenset({'Fresh spiced sausages in casing'})
0.03166666666666667,"frozenset({'Fresh stuffed egg pasta, INGRED= Bovine and pig, minced meat, INGRED= Ham, pork, INGRED= Mortadella-type sausage, PROCESS= Raw, no heat treatment'})"
0.06916666666666667,"frozenset({'Fruit nectars (min. 25-50% fruit as defined in EU legislation), INGRED= Sucrose (common sugar), GEN= Unspecified'})"
0.022833333333333334,"frozenset({'Fruit soft drink, orange, PLACE= Food industry prepared'})"
0.057166666666666664,"frozenset({'Garden peas (without pods), PROCESS= Raw, no heat treatment'})"
0.5378333333333334,"frozenset({'Garlic, PROCESS= Raw, no heat treatment'})"
0.03966666666666667,"frozenset({'Globe artichokes, PARTCON= With stem, PROCESS= Raw, no heat treatment'})"
0.28633333333333333,"frozenset({'Globe tomato, PROCESS= Raw, no heat treatment'})"
0.04633333333333333,"frozenset({'Grapefruits, PROCESS= Unprocessed'})"
0.03233333333333333,"frozenset({'Ham, beef'})"
0.161,"frozenset({'Ham, pork'})"
0.051666666666666666,"frozenset({'Hen egg yolk, PROCESS= Raw, no heat treatment, PROCESS= Unprocessed'})"
0.3985,"frozenset({'Hen eggs, PROCESS= Raw, no heat treatment, PROCESS= Unprocessed'})"
0.058,"frozenset({'Honey, GEN= Unspecified'})"
0.025333333333333333,"frozenset({'Ice cream, milk-based, INGRED= Wafers, PLACE= Food industry prepared'})"
0.051666666666666666,frozenset({'Italian-type salami'})
0.09883333333333333,"frozenset({'Jam of fruit / vegetables, GEN= Unspecified, RACSOURCE= Fruit used as fruit'})"
0.1865,"frozenset({'Juice, lemon'})"
0.035166666666666666,"frozenset({'Juice, orange'})"
0.07166666666666667,"frozenset({'Kiwi fruits (green, red, yellow), PROCESS= Unprocessed'})"
0.085,"frozenset({'Lemons, PARTCON= With peel, PROCESS= Unprocessed'})"
0.027333333333333334,frozenset({'Lentils (dry)'})
0.3475,"frozenset({'Lettuces, PROCESS= Raw, no heat treatment'})"
0.026333333333333334,"frozenset({'Liqueurs, GEN= Unspecified'})"
0.334,"frozenset({'Main-crop potatoes, PROCESS= Unprocessed'})"
0.023833333333333335,frozenset({'Maize flour'})
0.07266666666666667,"frozenset({'Mandarins, PROCESS= Unprocessed'})"
0.03766666666666667,frozenset({'Mayonnaise sauce'})
0.19533333333333333,frozenset({'Meat extract'})
0.0605,"frozenset({'Melons, PROCESS= Unprocessed'})"
0.04466666666666667,frozenset({'Milk chocolate'})
0.024666666666666667,"frozenset({'Mortadella-type sausage, INGRED= Pig minced meat'})"
0.2688333333333333,"frozenset({'Mozzarella, RACSOURCE= Cow milk'})"
0.022333333333333334,"frozenset({'Mozzarella, RACSOURCE= Water buffalo milk'})"
0.6443333333333333,frozenset({'Natural mineral water'})
0.030666666666666665,frozenset({'Non-food matrices'})
0.9735,"frozenset({'Olive oil, virgin or extra-virgin'})"
0.615,"frozenset({'Onion bulbs for fresh consumption, PROCESS= Raw, no heat treatment'})"
0.1405,"frozenset({'Oranges, PROCESS= Unprocessed'})"
0.03883333333333333,"frozenset({'Pancetta, PROCESS= Raw, no heat treatment'})"
0.4375,frozenset({'Parsley'})
0.14416666666666667,"frozenset({'Pears, PROCESS= Unprocessed'})"
0.044,"frozenset({'Pig fat tissue, PROCESS= Raw, no heat treatment'})"
0.04416666666666667,"frozenset({'Pig muscle, PARTCON= Excluding visible fat, PROCESS= Raw, no heat treatment'})"
0.03333333333333333,"frozenset({'Pig other slaughtering products, PART= Skin (as part-nature), PROCESS= Raw, no heat treatment'})"
0.036333333333333336,"frozenset({'Pizza and pizza-like dishes, INGRED= Olive oils, INGRED= Salt'})"
0.28633333333333333,"frozenset({'Plum tomato, PROCESS= Raw, no heat treatment'})"
0.0205,"frozenset({'Plums, PROCESS= Unprocessed'})"
0.029833333333333333,frozenset({'Pork lard'})
0.3918333333333333,"frozenset({'Preserved tomato, whole or pieces, PACKFORMAT= Drawn can, PARTCON= W/o peel'})"
0.041833333333333333,"frozenset({'Quinces, PROCESS= Unprocessed'})"
0.10766666666666666,"frozenset({'Radicchio, PROCESS= Raw, no heat treatment'})"
0.14816666666666667,"frozenset({'Rice grain, polished, PROCESS= Raw, no heat treatment, PROCESS= Unprocessed'})"
0.06216666666666667,"frozenset({'Ricotta, RACSOURCE= Cow milk, whole'})"
0.026166666666666668,"frozenset({'Roman rocket and similar-, PROCESS= Raw, no heat treatment'})"
0.12333333333333334,"frozenset({'Rusk, refined flour'})"
0.022333333333333334,"frozenset({'Rusk, wholemeal'})"
0.15933333333333333,"frozenset({'Seed oils, GEN= Unspecified'})"
0.026166666666666668,"frozenset({'Shortcrust (pies -tarts), INGRED= Jam of fruit / vegetables'})"
0.034666666666666665,"frozenset({'Shrimps, common, PROCESS= Raw, no heat treatment'})"
0.0665,"frozenset({'Spinaches, PROCESS= Raw, no heat treatment'})"
0.023,frozenset({'Sponge cake'})
0.03866666666666667,"frozenset({'Squid, common, PROCESS= Raw, no heat treatment'})"
0.7268333333333333,frozenset({'Sucrose (common sugar)'})
0.021333333333333333,frozenset({'Sweet corn canned'})
0.05733333333333333,"frozenset({'Sweet peppers, PROCESS= Raw, no heat treatment'})"
0.1255,"frozenset({'Swiss chards, PROCESS= Raw, no heat treatment'})"
0.04133333333333333,"frozenset({'Table olives ready for consumption, QUAL= Dark'})"
0.41983333333333334,frozenset({'Tap water'})
0.11683333333333333,"frozenset({'Tea infusion (black, white), QUAL= Without added sugar'})"
0.031,"frozenset({'Tea infusion with added flavouring ingredients, QUAL= With added sugar, PLACE= Food industry prepared'})"
0.0225,"frozenset({'Turkey fresh meat, STATE= Primal cuts / fillets / halves or quarters, PARTCON= W/o bone, PARTCON= W/o external layer/rind/casing (only internal part), PROCESS= Raw, no heat treatment'})"
0.17466666666666666,"frozenset({'Vinegar, wine'})"
0.026333333333333334,frozenset({'Watermelons'})
0.025833333333333333,"frozenset({'Wheat bread and rolls, brown or wholemeal'})"
0.2748333333333333,"frozenset({'Wheat bread and rolls, semi-brown'})"
0.43833333333333335,"frozenset({'Wheat bread and rolls, white (refined flour)'})"
0.025,"frozenset({'Wheat bread and rolls, white (refined flour), INGRED= Cow milk'})"
0.03716666666666667,"frozenset({'Wheat bread and rolls, white (refined flour), INGRED= Durum wheat grain'})"
0.025,"frozenset({'Wheat bread and rolls, white (refined flour), INGRED= Vegetable fats and oils, edible'})"
0.028333333333333332,"frozenset({'Wheat bread and rolls, white (refined flour), STATE= Slices, steaks or other flat cuts, PLACE= Food industry prepared, USE= Intended to be toasted'})"
0.37133333333333335,frozenset({'Wheat flour white'})
0.03716666666666667,"frozenset({'Wild chicories, PROCESS= Raw, no heat treatment'})"
0.283,"frozenset({'Wine, red'})"
0.23983333333333334,"frozenset({'Wine, white'})"
0.14,"frozenset({'Yeast cultures, STATE= Tablets, RACSOURCE= Barley grains'})"
0.058333333333333334,"frozenset({'Yoghurt, cow milk, flavoured, INGRED= Fruit used as fruit, QUAL= Full fat'})"
0.023833333333333335,"frozenset({'Yoghurt, cow milk, plain, QUAL= Full fat'})"
0.028666666666666667,"frozenset({'Anchovies, PROCESS= Raw, no heat treatment', 'Coffee espresso (beverage), QUAL= Without added sugar'})"
0.023666666666666666,"frozenset({'Garlic, PROCESS= Raw, no heat treatment', 'Anchovies, PROCESS= Raw, no heat treatment'})"
0.0215,"frozenset({'Anchovies, PROCESS= Raw, no heat treatment', 'Globe tomato, PROCESS= Raw, no heat treatment'})"
0.0245,"frozenset({'Anchovies, PROCESS= Raw, no heat treatment', 'Hen eggs, PROCESS= Raw, no heat treatment, PROCESS= Unprocessed'})"
0.03133333333333333,"frozenset({'Anchovies, PROCESS= Raw, no heat treatment', 'Juice, lemon'})"
0.027,"frozenset({'Anchovies, PROCESS= Raw, no heat treatment', 'Natural mineral water'})"
0.03816666666666667,"frozenset({'Anchovies, PROCESS= Raw, no heat treatment', 'Olive oil, virgin or extra-virgin'})"
0.021666666666666667,"frozenset({'Anchovies, PROCESS= Raw, no heat treatment', 'Parsley'})"
0.0265,"frozenset({'Anchovies, PROCESS= Raw, no heat treatment', 'Sucrose (common sugar)'})"
0.02,"frozenset({'Anchovies, PROCESS= Raw, no heat treatment', 'Table olives ready for consumption, QUAL= Dark'})"
0.0475,"frozenset({'Biscuits, sweet, plain', 'Apples, PARTCON= W/o peel'})"
0.035833333333333335,"frozenset({'Bottled drinking water', 'Apples, PARTCON= W/o peel'})"
0.04816666666666667,"frozenset({'Apples, PARTCON= W/o peel', 'Breadcrumbs, QUAL= White/refined'})"
0.07883333333333334,"frozenset({'Butter', 'Apples, PARTCON= W/o peel'})"
0.043166666666666666,"frozenset({'Calf fresh meat, PROCESS= Raw, no heat treatment', 'Apples, PARTCON= W/o peel'})"
0.021666666666666667,"frozenset({'Canned tunas and similar, MEDIUM= In vegetable oil', 'Apples, PARTCON= W/o peel'})"
0.08983333333333333,"frozenset({'Carrots, PROCESS= Raw, no heat treatment', 'Apples, PARTCON= W/o peel'})"
0.07716666666666666,"frozenset({'Cavendishes, PROCESS= Unprocessed', 'Apples, PARTCON= W/o peel'})"
0.075,"frozenset({'Celery leaves', 'Apples, PARTCON= W/o peel'})"
0.021,"frozenset({'Cheese, grana padano', 'Apples, PARTCON= W/o peel'})"
0.13933333333333334,"frozenset({'Cheese, parmigiano reggiano, PROCESS= Grating', 'Apples, PARTCON= W/o peel'})"
0.024666666666666667,"frozenset({'Cheese, pecorino romano', 'Apples, PARTCON= W/o peel'})"
0.0255,"frozenset({'Chicken fresh meat, PART= Breast (as part-nature), PROCESS= Raw, no heat treatment', 'Apples, PARTCON= W/o peel'})"
0.02,"frozenset({'Chili peppers, PROCESS= Raw, no heat treatment', 'Apples, PARTCON= W/o peel'})"
0.217,"frozenset({'Coffee espresso (beverage), QUAL= Without added sugar', 'Apples, PARTCON= W/o peel'})"
0.020166666666666666,"frozenset({'Apples, PARTCON= W/o peel', 'Common mushrooms, PROCESS= Raw, no heat treatment'})"
0.043666666666666666,"frozenset({'Cooked pork ham', 'Apples, PARTCON= W/o peel'})"
0.036,"frozenset({'Courgettes, PROCESS= Raw, no heat treatment', 'Apples, PARTCON= W/o peel'})"
0.0835,"frozenset({'Cow milk, semi skimmed (half fat)', 'Apples, PARTCON= W/o peel'})"
0.127,"frozenset({'Apples, PARTCON= W/o peel', 'Cow milk, whole'})"
0.07266666666666667,"frozenset({'Cow, ox or bull fresh meat, PARTCON= Including visible fat, PROCESS= Raw, no heat treatment', 'Apples, PARTCON= W/o peel'})"
0.029833333333333333,"frozenset({'Croissant, PLACE= Food industry prepared', 'Apples, PARTCON= W/o peel'})"
0.0255,"frozenset({'Cucumbers, PROCESS= Raw, no heat treatment', 'Apples, PARTCON= W/o peel'})"
0.17033333333333334,"frozenset({'Dried durum pasta', 'Apples, PARTCON= W/o peel'})"
0.0455,"frozenset({'Florence fennels, PROCESS= Raw, no heat treatment', 'Apples, PARTCON= W/o peel'})"
0.02,"frozenset({'Fruit nectars (min. 25-50% fruit as defined in EU legislation), INGRED= Sucrose (common sugar), GEN= Unspecified', 'Apples, PARTCON= W/o peel'})"
0.163,"frozenset({'Garlic, PROCESS= Raw, no heat treatment', 'Apples, PARTCON= W/o peel'})"
0.08816666666666667,"frozenset({'Globe tomato, PROCESS= Raw, no heat treatment', 'Apples, PARTCON= W/o peel'})"
0.044333333333333336,"frozenset({'Ham, pork', 'Apples, PARTCON= W/o peel'})"
0.1295,"frozenset({'Apples, PARTCON= W/o peel', 'Hen eggs, PROCESS= Raw, no heat treatment, PROCESS= Unprocessed'})"
0.020666666666666667,"frozenset({'Apples, PARTCON= W/o peel', 'Honey, GEN= Unspecified'})"
0.035333333333333335,"frozenset({'Jam of fruit / vegetables, GEN= Unspecified, RACSOURCE= Fruit used as fruit', 'Apples, PARTCON= W/o peel'})"
0.07833333333333334,"frozenset({'Juice, lemon', 'Apples, PARTCON= W/o peel'})"
0.024166666666666666,"frozenset({'Apples, PARTCON= W/o peel', 'Kiwi fruits (green, red, yellow), PROCESS= Unprocessed'})"
0.0305,"frozenset({'Lemons, PARTCON= With peel, PROCESS= Unprocessed', 'Apples, PARTCON= W/o peel'})"
0.10783333333333334,"frozenset({'Apples, PARTCON= W/o peel', 'Lettuces, PROCESS= Raw, no heat treatment'})"
0.11133333333333334,"frozenset({'Main-crop potatoes, PROCESS= Unprocessed', 'Apples, PARTCON= W/o peel'})"
0.07166666666666667,"frozenset({'Meat extract', 'Apples, PARTCON= W/o peel'})"
0.0685,"frozenset({'Mozzarella, RACSOURCE= Cow milk', 'Apples, PARTCON= W/o peel'})"
0.201,"frozenset({'Natural mineral water', 'Apples, PARTCON= W/o peel'})"
0.284,"frozenset({'Apples, PARTCON= W/o peel', 'Olive oil, virgin or extra-virgin'})"
0.18566666666666667,"frozenset({'Onion bulbs for fresh consumption, PROCESS= Raw, no heat treatment', 'Apples, PARTCON= W/o peel'})"
0.051166666666666666,"frozenset({'Oranges, PROCESS= Unprocessed', 'Apples, PARTCON= W/o peel'})"
0.12933333333333333,"frozenset({'Parsley', 'Apples, PARTCON= W/o peel'})"
0.07616666666666666,"frozenset({'Pears, PROCESS= Unprocessed', 'Apples, PARTCON= W/o peel'})"
0.08183333333333333,"frozenset({'Plum tomato, PROCESS= Raw, no heat treatment', 'Apples, PARTCON= W/o peel'})"
0.11533333333333333,"frozenset({'Preserved tomato, whole or pieces, PACKFORMAT= Drawn can, PARTCON= W/o peel', 'Apples, PARTCON= W/o peel'})"
0.036833333333333336,"frozenset({'Radicchio, PROCESS= Raw, no heat treatment', 'Apples, PARTCON= W/o peel'})"
0.04733333333333333,"frozenset({'Apples, PARTCON= W/o peel', 'Rice grain, polished, PROCESS= Raw, no heat treatment, PROCESS= Unprocessed'})"
0.04683333333333333,"frozenset({'Rusk, refined flour', 'Apples, PARTCON= W/o peel'})"
0.037,"frozenset({'Seed oils, GEN= Unspecified', 'Apples, PARTCON= W/o peel'})"
0.022333333333333334,"frozenset({'Spinaches, PROCESS= Raw, no heat treatment', 'Apples, PARTCON= W/o peel'})"
0.22283333333333333,"frozenset({'Sucrose (common sugar)', 'Apples, PARTCON= W/o peel'})"
0.0465,"frozenset({'Swiss chards, PROCESS= Raw, no heat treatment', 'Apples, PARTCON= W/o peel'})"
0.1135,"frozenset({'Tap water', 'Apples, PARTCON= W/o peel'})"
0.0425,"frozenset({'Tea infusion (black, white), QUAL= Without added sugar', 'Apples, PARTCON= W/o peel'})"
0.0565,"frozenset({'Vinegar, wine', 'Apples, PARTCON= W/o peel'})"
0.0785,"frozenset({'Apples, PARTCON= W/o peel', 'Wheat bread and rolls, semi-brown'})"
0.13966666666666666,"frozenset({'Apples, PARTCON= W/o peel', 'Wheat bread and rolls, white (refined flour)'})"
0.11133333333333334,"frozenset({'Wheat flour white', 'Apples, PARTCON= W/o peel'})"
0.08883333333333333,"frozenset({'Wine, red', 'Apples, PARTCON= W/o peel'})"
0.074,"frozenset({'Wine, white', 'Apples, PARTCON= W/o peel'})"
0.0315,"frozenset({'Yeast cultures, STATE= Tablets, RACSOURCE= Barley grains', 'Apples, PARTCON= W/o peel'})"
0.021166666666666667,"frozenset({'Apples, PARTCON= With peel, PROCESS= Unprocessed', 'Carrots, PROCESS= Raw, no heat treatment'})"
0.0305,"frozenset({'Apples, PARTCON= With peel, PROCESS= Unprocessed', 'Cheese, parmigiano reggiano, PROCESS= Grating'})"
0.05433333333333333,"frozenset({'Apples, PARTCON= With peel, PROCESS= Unprocessed', 'Coffee espresso (beverage), QUAL= Without added sugar'})"
0.029833333333333333,"frozenset({'Apples, PARTCON= With peel, PROCESS= Unprocessed', 'Cow milk, whole'})"
0.042,"frozenset({'Dried durum pasta', 'Apples, PARTCON= With peel, PROCESS= Unprocessed'})"
0.04033333333333333,"frozenset({'Garlic, PROCESS= Raw, no heat treatment', 'Apples, PARTCON= With peel, PROCESS= Unprocessed'})"
0.021333333333333333,"frozenset({'Apples, PARTCON= With peel, PROCESS= Unprocessed', 'Globe tomato, PROCESS= Raw, no heat treatment'})"
0.025333333333333333,"frozenset({'Apples, PARTCON= With peel, PROCESS= Unprocessed', 'Hen eggs, PROCESS= Raw, no heat treatment, PROCESS= Unprocessed'})"
0.027666666666666666,"frozenset({'Apples, PARTCON= With peel, PROCESS= Unprocessed', 'Lettuces, PROCESS= Raw, no heat treatment'})"
0.022,"frozenset({'Apples, PARTCON= With peel, PROCESS= Unprocessed', 'Main-crop potatoes, PROCESS= Unprocessed'})"
0.04616666666666667,"frozenset({'Apples, PARTCON= With peel, PROCESS= Unprocessed', 'Natural mineral water'})"
0.07066666666666667,"frozenset({'Apples, PARTCON= With peel, PROCESS= Unprocessed', 'Olive oil, virgin or extra-virgin'})"
0.047,"frozenset({'Onion bulbs for fresh consumption, PROCESS= Raw, no heat treatment', 'Apples, PARTCON= With peel, PROCESS= Unprocessed'})"
0.029,"frozenset({'Apples, PARTCON= With peel, PROCESS= Unprocessed', 'Parsley'})"
0.029833333333333333,"frozenset({'Preserved tomato, whole or pieces, PACKFORMAT= Drawn can, PARTCON= W/o peel', 'Apples, PARTCON= With peel, PROCESS= Unprocessed'})"
0.05316666666666667,"frozenset({'Apples, PARTCON= With peel, PROCESS= Unprocessed', 'Sucrose (common sugar)'})"
0.033,"frozenset({'Tap water', 'Apples, PARTCON= With peel, PROCESS= Unprocessed'})"
0.0205,"frozenset({'Apples, PARTCON= With peel, PROCESS= Unprocessed', 'Wheat bread and rolls, semi-brown'})"
0.027,"frozenset({'Apples, PARTCON= With peel, PROCESS= Unprocessed', 'Wheat bread and rolls, white (refined flour)'})"
0.024333333333333332,"frozenset({'Apples, PARTCON= With peel, PROCESS= Unprocessed', 'Wheat flour white'})"
0.0205,"frozenset({'Wine, red', 'Apples, PARTCON= With peel, PROCESS= Unprocessed'})"
0.024333333333333332,"frozenset({'Coffee espresso (beverage), QUAL= Without added sugar', 'Apricots, PROCESS= Unprocessed'})"
0.023833333333333335,"frozenset({'Apricots, PROCESS= Unprocessed', 'Natural mineral water'})"
0.03216666666666667,"frozenset({'Apricots, PROCESS= Unprocessed', 'Olive oil, virgin or extra-virgin'})"
0.024166666666666666,"frozenset({'Apricots, PROCESS= Unprocessed', 'Sucrose (common sugar)'})"
0.028,"frozenset({'Aubergines, PROCESS= Raw, no heat treatment', 'Breadcrumbs, QUAL= White/refined'})"
0.0315,"frozenset({'Cheese, parmigiano reggiano, PROCESS= Grating', 'Aubergines, PROCESS= Raw, no heat treatment'})"
0.046,"frozenset({'Coffee espresso (beverage), QUAL= Without added sugar', 'Aubergines, PROCESS= Raw, no heat treatment'})"
0.02,"frozenset({'Cow milk, semi skimmed (half fat)', 'Aubergines, PROCESS= Raw, no heat treatment'})"
0.026833333333333334,"frozenset({'Aubergines, PROCESS= Raw, no heat treatment', 'Cow milk, whole'})"
0.0385,"frozenset({'Dried durum pasta', 'Aubergines, PROCESS= Raw, no heat treatment'})"
0.04133333333333333,"frozenset({'Garlic, PROCESS= Raw, no heat treatment', 'Aubergines, PROCESS= Raw, no heat treatment'})"
0.020166666666666666,"frozenset({'Globe tomato, PROCESS= Raw, no heat treatment', 'Aubergines, PROCESS= Raw, no heat treatment'})"
0.029333333333333333,"frozenset({'Aubergines, PROCESS= Raw, no heat treatment', 'Hen eggs, PROCESS= Raw, no heat treatment, PROCESS= Unprocessed'})"
0.02,"frozenset({'Aubergines, PROCESS= Raw, no heat treatment', 'Main-crop potatoes, PROCESS= Unprocessed'})"
0.0235,"frozenset({'Mozzarella, RACSOURCE= Cow milk', 'Aubergines, PROCESS= Raw, no heat treatment'})"
0.041833333333333333,"frozenset({'Natural mineral water', 'Aubergines, PROCESS= Raw, no heat treatment'})"
0.062,"frozenset({'Aubergines, PROCESS= Raw, no heat treatment', 'Olive oil, virgin or extra-virgin'})"
0.03816666666666667,"frozenset({'Onion bulbs for fresh consumption, PROCESS= Raw, no heat treatment', 'Aubergines, PROCESS= Raw, no heat treatment'})"
0.0305,"frozenset({'Parsley', 'Aubergines, PROCESS= Raw, no heat treatment'})"
0.029333333333333333,"frozenset({'Plum tomato, PROCESS= Raw, no heat treatment', 'Aubergines, PROCESS= Raw, no heat treatment'})"
0.024166666666666666,"frozenset({'Preserved tomato, whole or pieces, PACKFORMAT= Drawn can, PARTCON= W/o peel', 'Aubergines, PROCESS= Raw, no heat treatment'})"
0.04516666666666667,"frozenset({'Aubergines, PROCESS= Raw, no heat treatment', 'Sucrose (common sugar)'})"
0.029,"frozenset({'Tap water', 'Aubergines, PROCESS= Raw, no heat treatment'})"
0.0295,"frozenset({'Aubergines, PROCESS= Raw, no heat treatment', 'Wheat bread and rolls, white (refined flour)'})"
0.028833333333333332,"frozenset({'Wheat flour white', 'Aubergines, PROCESS= Raw, no heat treatment'})"
0.022,"frozenset({'Barley coffee infusion, QUAL= Without added sugar', 'Cheese, parmigiano reggiano, PROCESS= Grating'})"
0.022,"frozenset({'Dried durum pasta', 'Barley coffee infusion, QUAL= Without added sugar'})"
0.02,"frozenset({'Garlic, PROCESS= Raw, no heat treatment', 'Barley coffee infusion, QUAL= Without added sugar'})"
0.027833333333333335,"frozenset({'Barley coffee infusion, QUAL= Without added sugar', 'Natural mineral water'})"
0.03783333333333333,"frozenset({'Barley coffee infusion, QUAL= Without added sugar', 'Olive oil, virgin or extra-virgin'})"
0.024833333333333332,"frozenset({'Onion bulbs for fresh consumption, PROCESS= Raw, no heat treatment', 'Barley coffee infusion, QUAL= Without added sugar'})"
0.027166666666666665,"frozenset({'Barley coffee infusion, QUAL= Without added sugar', 'Sucrose (common sugar)'})"
0.0295,"frozenset({'Beer', 'Cheese, parmigiano reggiano, PROCESS= Grating'})"
0.0665,"frozenset({'Beer', 'Coffee espresso (beverage), QUAL= Without added sugar'})"
0.028666666666666667,"frozenset({'Beer', 'Cow milk, whole'})"
0.0335,"frozenset({'Dried durum pasta', 'Beer'})"
0.03133333333333333,"frozenset({'Garlic, PROCESS= Raw, no heat treatment', 'Beer'})"
0.028,"frozenset({'Beer', 'Hen eggs, PROCESS= Raw, no heat treatment, PROCESS= Unprocessed'})"
0.024166666666666666,"frozenset({'Beer', 'Lettuces, PROCESS= Raw, no heat treatment'})"
0.043333333333333335,"frozenset({'Beer', 'Mozzarella, RACSOURCE= Cow milk'})"
0.043833333333333335,"frozenset({'Beer', 'Natural mineral water'})"
0.069,"frozenset({'Beer', 'Olive oil, virgin or extra-virgin'})"
0.0375,"frozenset({'Onion bulbs for fresh consumption, PROCESS= Raw, no heat treatment', 'Beer'})"
0.024666666666666667,"frozenset({'Beer', 'Parsley'})"
0.034833333333333334,"frozenset({'Beer', 'Plum tomato, PROCESS= Raw, no heat treatment'})"
0.033166666666666664,"frozenset({'Preserved tomato, whole or pieces, PACKFORMAT= Drawn can, PARTCON= W/o peel', 'Beer'})"
0.037,"frozenset({'Seed oils, GEN= Unspecified', 'Beer'})"
0.06016666666666667,"frozenset({'Beer', 'Sucrose (common sugar)'})"
0.028166666666666666,"frozenset({'Tap water', 'Beer'})"
